Scenario;IdBar;attVector;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
13;S;Alpha;-0.126552344;-0.15661344;-0.230567154;-0.364160328;-0.375789216;-0.521912963;-0.371960501;-0.189559411;-0.262253485;-0.197821673;-0.081466368;0.185242424;0.089686992;0.009265351;-0.00218421;0.122481953;0.097936819;0.138521368;0.206065268;0.185570492;0.432058824;0.361988304;0.699;1;-1.344444444;-1.15990303;-1.54384;-4.141323077;-5.68372;-2.673777778;-1.678514286;-1.762755556;0.10956;0.55478;0.51905;0.44115;0.541639098;0.182242857;0.251544056;0.200469231;0.155139362;-0.231379837;-0.03680373;-0.030438333;-0.138500833;-0.041610526;0.198733333;0.21643037
14;S;Alpha;-0.020727681;0.02837525;0.093597773;0.086929903;0.119490196;0.144583333;0.251746628;0.218447949;0.140749049;0.084835391;-0.004599402;0.065008913;-0.087461382;0.040554824;-0.065203947;-0.121972399;-0.016228758;0.052435897;0.029265734;-0.038062295;0.140535294;0.64928655;0.54028;0.095904762;-1.885502222;-3.671139394;-4.52694;-4.133753846;-3.18276;-4.527777778;-2.635714286;-1.713511111;-2.82528;-0.8025;0.122341667;0.359195833;0.377215038;0.364942857;0.450123077;0.272714286;0.208390426;0.115152044;0.157089977;0.039003333;0.127784167;-0.010887449;0.025390698;0.040662222
15;S;Alpha;-0.029468208;-0.017683965;-0.056662491;-0.222223714;-0.273383987;-0.341201852;-0.393916185;-0.401618297;-0.475888466;-0.471290809;-0.229339313;-0.314484848;-0.105640244;-0.144822369;-0.074859649;0.072316348;-0.044385621;-0.060207265;-0.180717949;-0.192993443;-0.340370588;-1.173836257;-1.00772;-1.117142857;-0.79088;-1.763272727;-2.09526;-2.859815385;-1.413;-3.926844444;-7.963314286;-5.727155556;-4.18116;-1.46058;0.395833333;1;0.72481203;0.75717551;0.489376224;0.344312088;0.139859574;0.142855586;0.25091655;0.387493333;0.507924167;0.36262834;0.280424031;0.063088889
16;S;Alpha;0.097603725;0.121463074;-0.006742519;-0.031245339;-0.040558824;0.00922037;0.043968208;0.044071504;0.032169835;0.29145679;0.249986547;0.409142602;0.294119919;0.33966886;0.354105263;0.27170276;0.077248366;-0.172694445;-0.216473194;-0.15515082;-0.160870588;-0.816935673;-0.86292;-0.160380952;-0.407644444;-0.552921212;-0.82524;-1.808061538;-2.14308;-2.492311111;-0.614742857;-3.177377778;-2.95964;-0.86058;-0.071391667;0.121783333;0.259251128;0.460110204;0.210802797;0.287017582;0.252709574;0.139901907;-0.034634033;0.27591;0.253778333;0.160859109;0.028566667;0.176863704
17;S;Alpha;0.162369942;0.079368596;0.005548365;0.038668904;-0.076286765;0.013727778;-0.1606079;-0.168718192;0.070544994;0.105347051;0.349315396;0.341081996;0.328044715;0.269899123;0.255370614;0.01877707;-0.200976035;-0.354666667;-0.264564103;-0.180363934;-0.679229412;-0.527824561;-0.197;1;-0.821377778;-0.740012121;-0.67116;-1.530276923;-2.28936;-1.867955556;-1.525142857;0.644444444;-1.02592;-0.72734;-0.057225;0.351470833;0.470237594;0.396534694;0.300916084;0.263710989;-0.127658511;-0.4182703;-0.163887179;0.030779167;0.019058333;0.184967611;0.260541085;0.136025926
18;S;Alpha;0.121310854;0.123071856;0.265437022;0.259723341;0.151871732;0.131153704;0.096489403;-0.012698212;-0.261967047;-0.415131687;-0.26058296;-0.369723708;-0.076168699;-0.186234649;-0.225592105;-0.186681529;-0.197877996;-0.220995727;-0.404382285;-0.363390164;-0.333947059;-0.385415205;0.01132;0.378380952;-2.855795556;-4.484509091;-6.83052;-7.298;-5.93744;-4.1224;-0.871657143;0.733333333;0.4;0.12532;-0.126941667;0.155279167;-0.026252632;0.038961224;0.242769231;0.512174725;0.45496383;0.206429428;0.45042331;0.381153333;0.111204167;0.201980567;0.262606202;0.037375556
19;S;Alpha;0.060748876;0.009274784;0.073167015;-0.007126771;-0.007870098;-0.053056481;-0.109129094;-0.058053628;-0.152043092;-0.047052126;-0.148724963;0.154657754;-0.021823171;-0.126730263;-0.156651316;-0.166031847;-0.085006536;-0.193982906;-0.165081585;-0.071370492;-0.004370588;0.107380117;0.01928;0.760190476;-0.444426667;-0.418993939;-0.57012;-2.413784615;-3.43792;-2.470177778;-2.5592;-0.556577778;0.89676;0.7231;0.884625;0.795816667;0.822354887;0.879455102;0.685131469;0.218873626;0.283952128;-0.021519346;-0.088319814;0.101305;0.453523333;0.238401619;0.235586047;0.275417778
20;S;Alpha;0.164508028;0.194097139;0.071724426;0.103563013;0.158504085;0.148527778;0.336427746;0.275895899;0.46608872;0.3619369;0.158059791;0.103868093;0.086930894;0.075162281;-0.010532895;0.047658174;0.140250545;0.182525641;0.066251748;0.177790164;0.480564706;0.458432748;0.67756;1;-0.905484444;-2.062715152;-2.55308;-4.936123077;-4.349;-7.923733333;-11.91845714;-9.352133333;-5.49596;-2.6762;0.027075;0.539854167;0.447816541;0.613395918;0.578309091;0.502287912;0.40567234;0.243093188;0.093864802;0.159104167;0.1210025;0.078632389;-0.050491473;-0.177066667
1;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
2;;Prob;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05
